cve.CVE_data_meta.ID,impact.baseMetricV3.cvssV3.userInteraction,impact.baseMetricV3.impactScore,impact.baseMetricV2.exploitabilityScore,impact.baseMetricV3.cvssV3.privilegesRequired,impact.baseMetricV3.cvssV3.attackVector
CVE-2018-0864,2,2.7,6.8,2,3
CVE-2018-0866,2,5.9,8.6,1,3
CVE-2018-0868,1,5.9,3.4,2,1
CVE-2018-0869,2,2.7,6.8,2,3
CVE-2018-0870,0,0,,0,0
CVE-2018-0872,2,5.9,4.9,1,3
CVE-2018-0873,2,5.9,4.9,1,3
CVE-2018-0874,2,5.9,4.9,1,3
CVE-2018-0875,1,3.6,10,1,3
CVE-2018-0876,2,5.9,4.9,1,3
CVE-2018-0877,1,5.9,3.9,2,1
CVE-2018-0878,2,1.4,4.9,1,3
CVE-2018-0879,1,3.6,10,1,3
CVE-2018-0880,1,5.9,3.4,2,1
CVE-2018-0881,1,5.9,3.4,2,1
CVE-2018-0882,1,5.9,3.4,2,1
CVE-2018-0883,2,5.9,4.9,1,3
CVE-2018-0884,1,5.9,3.9,2,1
CVE-2018-0885,1,4,6.8,3,3
CVE-2018-0886,2,5.9,4.9,1,1
CVE-2018-0887,0,0,,0,0
CVE-2018-0888,1,4,3.4,2,1
CVE-2018-0889,2,5.9,4.9,1,3
CVE-2018-0890,0,0,,0,0
